pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,coef_0,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,coef_10,mean,std
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.5,0.1,230824.0853194342,-10046.755638231001,-1335463.7181298602,1826510.1194679153,-209476.14273117308,-1345236.3966244876,1298549.2358768294,-572045.9746738822,135576.0791696225,-16615.85213256419,818.7096157672328,0.5,0.07313770135289592
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.5,0.2,718208.0658717726,-1348631.1601597103,-487471.4605812215,3029134.348373344,-2717073.630367686,636369.6510564034,448022.2202752428,-370837.8549688343,114015.67369426807,-16771.33560839549,979.941788159672,0.5,0.07280261850827659
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.5,0.3,287335.3845704522,86359.89923177163,-2118901.02374076,3183969.1379903755,-1253526.099217314,-1057185.6706754225,1417820.8672634815,-698571.191433118,180057.50221129178,-24095.79502780507,1322.8825279041878,0.5,0.07309799384864576
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.5,0.4,595244.1388665469,-1124708.7240574986,-203213.06400143844,1737226.3212393061,-941806.1934803971,-692034.3027780451,1043186.7977393348,-528344.8677635503,135795.4873153538,-17673.950548913526,916.342175254699,0.5,0.07390748780972886
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.75,0.1,13776125.313570501,-37442482.48950682,32023182.325878743,-188936.90996622352,-13199939.81537621,2857812.5605179616,5378186.859658932,-4300626.501494919,1408208.0621109079,-223420.0147510492,14111.237239945138,0.5,0.0570767149845521
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.75,0.2,5352589.513668178,-14594714.45853307,12769804.959520794,-884121.2354262484,-4305735.849999513,972583.7933961108,1664304.1805855953,-1271542.6592927414,388154.52282207884,-56115.54099799819,3136.9574966159657,0.5,0.05770962522048242
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.75,0.3,9817390.031187592,-25450745.70597362,18674779.725588717,5265670.426131989,-12437139.63508595,2099769.5606045937,4712643.088298594,-3581449.976350889,1143761.7497360841,-178308.85922361357,11109.415104855665,0.5,0.056568502142676204
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,0.75,0.4,10981140.549793288,-29728428.199980445,25445992.561044723,-610845.2158817025,-9755016.898418134,2019255.1209376731,3969154.889463972,-3069672.055156675,970069.531915263,-147242.73560143207,8781.621571223142,0.5,0.057381417431803416
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.0,0.1,101396823.32822871,-293776359.8266166,300288049.4218174,-87403582.79859073,-50929896.957538255,24764089.72700784,21946879.121437594,-22266737.26205249,8052898.756310748,-1376274.52916925,93087.30096713082,0.5,0.04652825690245139
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.0,0.2,116361814.1094541,-328675144.25688547,311664201.19683856,-47554935.701821126,-100728079.61491548,42371471.38917272,28875617.67123562,-30949776.65624972,11417930.58749648,-1993373.0654874153,138370.02235832365,0.5,0.0466851612037534
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.0,0.3,105363475.3981692,-283334392.053724,226158235.7980502,44670465.452808775,-157796503.76468134,57606172.08629831,32980596.24265004,-35882341.15718813,13184613.322585028,-2295865.7334821015,159246.04632649902,0.5,0.04660665545426101
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.0,0.4,57236592.995915994,-155909035.76142114,136284117.8770295,-5467181.79671237,-55128900.77952626,17202787.258808617,17645522.567929868,-16042394.958061779,5525184.093567081,-911860.7539492237,59866.24201954093,0.5,0.0477446573309463
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.25,0.1,148365957.61415917,-446837249.22418195,497550833.360943,-201111767.99700058,-51856562.66794251,79040898.25195734,-27092042.32580917,2822192.7651902875,110186.42661115178,53036.550388654505,-17877.282336525255,0.5,0.03891137847626557
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.25,0.2,96525427.96321154,-246159212.86840847,187417442.03849882,18585407.420881275,-73374304.47949614,-11087479.96273714,54452751.192559436,-33795197.54820342,9731692.33746726,-1366747.5395602118,73739.40519052818,0.5,0.03908057763986386
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.25,0.3,122411471.67768376,-330576097.71214664,283873732.2866446,4509351.274890633,-154415701.24575865,91658659.74867973,-11442451.248303996,-7744715.903458656,3272077.4910157933,-437054.73840433575,14175.811521127343,0.5,0.03977526669823814
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.25,0.4,107284204.88906571,-277035462.5953262,211881675.58656058,29960549.093874358,-101156322.7977942,-150220.85494613732,60752522.58121775,-41540377.41901475,12898737.328939868,-1981367.3176546919,121371.10535348444,0.5,0.040465269751387194
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.5,0.1,71326748.60414353,-204879924.4849388,205584558.73475754,-75607002.18812704,9808110.737964831,-19475216.825711217,16563017.319542488,-1306344.1021713149,-2982226.248753676,1157651.8490936663,-131688.23752035518,0.5,0.033266038749536576
